region,mean,year
Житомирська область,130.96517412935324,2019
м.Київ,149.32454361054766,2020
Одеська область,131.33085501858736,2020
Луганська область,130.22222222222223,2019
Харківська область,139.2569198012775,2020
Миколаївська область,134.20261437908496,2020
Херсонська область,140.64510166358596,2020
Кіровоградська область,133.74174174174175,2019
Полтавська область,138.43362831858408,2020
Херсонська область,136.29140461215934,2019
Донецька область,134.58742632612967,2020
Черкаська область,137.92879256965944,2020
Одеська область,129.03715415019764,2019
Закарпатська область,130.17352941176472,2019
Запорізька область,133.98872180451127,2019
Полтавська область,134.042071197411,2019
м.Київ,147.47417840375587,2019
Київська область,135.9415501905972,2019
Сумська область,135.59454545454545,2019
Сумська область,139.2422839506173,2020
Дніпропетровська область,137.2644084934277,2020
Хмельницька область,139.12785388127853,2020
Дніпропетровська область,135.30011454753722,2019
Тернопільська область,137.11387163561076,2020
Житомирська область,134.2558869701727,2020
Кіровоградська область,138.3296089385475,2020
Вінницька область,136.82390510948906,2020
Закарпатська область,133.6529411764706,2020
Луганська область,134.91961414790995,2020
Тернопільська область,135.67705382436262,2019
Миколаївська область,132.60263653483992,2019
Київська область,135.86681465038845,2020
Донецька область,132.07003444316877,2019
Харківська область,139.68865030674846,2019
Чернівецька область,138.40530303030303,2020
Волинська область,140.91489361702128,2020
Івано-Франківська область,139.62328767123287,2020
Черкаська область,138.5358565737052,2019
Запорізька область,133.5082508250825,2020
Вінницька область,134.8537142857143,2019
Рівненська область,140.35075653370015,2020
Івано-Франківська область,139.31354359925788,2019
Чернігівська область,139.89112227805694,2020
Львівська область,141.54911433172302,2020
Рівненська область,135.4684129429892,2019
Львівська область,139.72072853425846,2019
Чернівецька область,132.87053571428572,2019
Хмельницька область,135.39808917197453,2019
Чернігівська область,136.0648918469218,2019
Волинська область,140.1204081632653,2019
